duppl,AphiaID,Taxon,PhytoplanktonType
FALSE,109882,Katodinium asymmetricum,Dinoflagellate
FALSE,109885,Katodinium glaucum,Dinoflagellate
FALSE,109887,Katodinium rotundatum,Dinoflagellate
FALSE,109888,Ptychodiscus noctiluca,Dinoflagellate
FALSE,109889,Torodinium robustum,Dinoflagellate
FALSE,109890,Torodinium teredo,Dinoflagellate
FALSE,109894,Herdmania litoralis,Dinoflagellate
FALSE,109896,Pheopolykrikos beauchampii,Dinoflagellate
FALSE,109898,Polykrikos hartmannii,Dinoflagellate
FALSE,109899,Polykrikos kofoidii,Dinoflagellate
FALSE,109901,Polykrikos schwartzii,Dinoflagellate
FALSE,109902,Oxyrrhis marina,Dinoflagellate
FALSE,109903,Pronoctiluca pelagica,Dinoflagellate
FALSE,109904,Pronoctiluca spinifera,Dinoflagellate
FALSE,109907,Nematodinium armatum,Dinoflagellate
FALSE,109914,Leptodiscus medusoides,Dinoflagellate
FALSE,109918,Kofoidinium pavillardii,Dinoflagellate
FALSE,109920,Kofoidinium velleloides,Dinoflagellate
FALSE,109921,Noctiluca scintillans,Dinoflagellate
FALSE,109923,Spatulodinium pseudonoctiluca,Dinoflagellate
FALSE,109925,Pentapharsodinium dalei,Dinoflagellate
FALSE,109927,Preperidinium meunierii,Dinoflagellate
FALSE,109928,Preperidinium pseudooblea,Dinoflagellate
FALSE,109929,Ceratium arietinum,Dinoflagellate
FALSE,109930,Ceratium azoricum,Dinoflagellate
FALSE,109931,Ceratium belone,Dinoflagellate
FALSE,109932,Ceratium breve,Dinoflagellate
FALSE,109934,Ceratium buceros,Dinoflagellate
FALSE,109935,Ceratium candelabrum,Dinoflagellate
FALSE,109936,Ceratium carriense,Dinoflagellate
FALSE,109939,Ceratium compressum,Dinoflagellate
FALSE,109940,Ceratium concilians,Dinoflagellate
FALSE,109941,Ceratium contortum,Dinoflagellate
FALSE,109943,Ceratium declinatum,Dinoflagellate
FALSE,109947,Ceratium extensum,Dinoflagellate
FALSE,109948,Ceratium falcatiforme,Dinoflagellate
FALSE,109949,Ceratium falcatum,Dinoflagellate
FALSE,109950,Ceratium furca,Dinoflagellate
FALSE,109951,Ceratium fusus,Dinoflagellate
FALSE,109952,Ceratium geniculatum,Dinoflagellate
FALSE,109953,Ceratium gibberum,Dinoflagellate
FALSE,109955,Ceratium hexacanthum,Dinoflagellate
FALSE,109956,Ceratium horridum,Dinoflagellate
FALSE,109958,Ceratium inflatum,Dinoflagellate
