AphiaID,Taxon,ZooHabitat
115427,Alteutha,NYA
115470,Thalestris,NYA
115484,Tisbe,NYA
115508,Aegisthus aculeatus,NYA
115509,Aegisthus mucronatus,NYA
115805,Clytemnestra scutellata,NYA
135366,Muggiaea,Holoplankton
135441,Muggiaea atlantica,Holoplankton
135444,Muggiaea kochii,Holoplankton
116183,Tigriopus brevicornis,NYA
135484,Agalma elegans,Holoplankton
116452,Alteutha interrupta,NYA
135496,Nanomia cara,Holoplankton
137212,Doliolida,Holoplankton
137215,Doliolidae,Holoplankton
137217,Salpidae,Holoplankton
137222,Doliolum,Holoplankton
117056,Turritopsis,NYA
137247,Doliolum nationalis,Holoplankton
137272,Salpa fusiformis,Holoplankton
137751,Clio,Holoplankton
137793,Clione,Holoplankton
138327,Peracle,Holoplankton
138366,Pneumodermopsis,Holoplankton
139178,Clione limacina,Holoplankton
140227,Limacina retroversa,Holoplankton
146420,Tunicata,Holoplankton
146421,Appendicularia,Holoplankton
148370,Daphnia,Holoplankton
149668,Mysida,Holoplankton
149711,Pseudocalanus minutus elongatus,Holoplankton
149718,Eucalanus elongatus,Holoplankton
117388,Obelia geniculata,NYA
149755,Acartia clausi,Holoplankton
149782,Cyclops,Holoplankton
117512,Eirene viridula,NYA
149847,Corycaeus anglicus,Holoplankton
117517,Eutonina indicans,NYA
117521,Helgicirrha cari,NYA
117527,Tima bairdii,NYA
117535,Eucheilota maculata,NYA
154102,Sagitta elegans elegans,Holoplankton
117568,Liriope tetraphylla,NYA
117653,Podocoryna aereolata,NYA
